asset,regime,mean_volatility_21d,mean_volatility_63d,max_drawdown,mean_return,annualized_vol
AAPL,crisis,0.02639115640405171,0.027162818721301732,-0.8180144822987138,0.0007400419877047921,0.4548237370833067
AAPL,normal,0.02081752723042852,0.021509276216659715,-0.7893369889877844,0.0016600080119304414,0.3941252774024752
AMZN,crisis,0.03484514521373498,0.0357979433610966,-0.9440421779932859,0.0005230218029713765,0.6334996487279898
AMZN,normal,0.025308947086688575,0.026132376208535795,-0.847685996105299,0.0023880915222224135,0.4937273214029283
BTC-USD,crisis,0.034785455422084686,0.03619775624905687,-0.8336965544986015,-0.0008356147684940019,0.6608704059910975
BTC-USD,normal,0.03082116783495491,0.03223019869838738,-0.8339900882218974,0.0021923971352899893,0.5394881564827779
DBC,crisis,0.015320729411947587,0.015510420567682792,-0.7636263464047515,-0.0005289118022181702,0.2630484439663056
DBC,normal,0.009512776485003193,0.009692922748464394,-0.7406643595781512,0.0004326115536335606,0.15800789750211292
DIA,crisis,0.012910974018620468,0.013053555952951029,-0.5186836171710223,-0.00032769209970278897,0.24827399530945124
DIA,normal,0.007923262528351656,0.00837578659768875,-0.16437806271906275,0.0008775221829896404,0.1310980296738941
ETH-USD,crisis,0.0455445854703585,0.04689063538565955,-0.9396254038538314,-0.0007993893799570697,0.8452193145689646
ETH-USD,normal,0.04030903106590809,0.04144754886432807,-0.9395305076553788,0.002108474275076066,0.681386705587946
GC=F,crisis,0.011072593174282804,0.011199505231151425,-0.4242071117091718,0.0005288034199328997,0.1943515135887093
GC=F,normal,0.009787685448706644,0.01004337898763125,-0.44363844125895235,0.0004823394356774374,0.165146841799856
GLD,crisis,0.012097885211091005,0.012310353525297068,-0.4366975165512277,0.00044020413797053796,0.21436281111362973
GLD,normal,0.009613025613770266,0.009835305836838776,-0.45555012734257017,0.0005031522812456309,0.1640608097068752
GOOGL,crisis,0.02263099789611646,0.023244965099344293,-0.6529475769682853,0.00045437423175861166,0.40212656741389374
GOOGL,normal,0.015050912294107812,0.015583381038661994,-0.3292305440257288,0.0014153418148676634,0.25008566103364027
IAU,crisis,0.012234518541563433,0.012465478693539896,-0.43243243243243246,0.0004814301522427473,0.21701467208328
IAU,normal,0.009605719593905956,0.009830475893357015,-0.45135137197133657,0.0005074864412633524,0.1637029615579451
IEF,crisis,0.005012104833008059,0.005077745408968705,-0.23659650199763504,0.00023205835912460694,0.08418113920831274
IEF,normal,0.003406722805102991,0.0034706758915798246,-0.2392477449317163,0.00010105744664651775,0.056218259362828045
IWM,crisis,0.016803229402640247,0.01690225676274836,-0.5863999181050017,-0.0001601309602755905,0.3025248185583631
IWM,normal,0.011103024525866199,0.011497932151654513,-0.2999472703043786,0.0008634805335676688,0.18207221644056817
META,crisis,0.03514386770384311,0.03497944736598812,-0.7673608856051737,-0.0003764824277527963,0.6124306933144934
META,normal,0.020213509185645972,0.021177335696932885,-0.5429902372997135,0.001326732076633879,0.3553271210042201
MSFT,crisis,0.02028078987430773,0.020861887071505658,-0.6938622649878516,-0.0001751493978309588,0.36540061330851326
MSFT,normal,0.015452695501868657,0.015895729187495024,-0.5771250936696399,0.0013476696329720777,0.26693390696912356
NVDA,crisis,0.040371268166655636,0.041876141501822554,-0.8972243627906007,0.0003306062602025394,0.7086731159238046
NVDA,normal,0.027749626955028243,0.02842583730245407,-0.7121901344055098,0.002994032970979649,0.5051542881671132
QQQ,crisis,0.018546891442031234,0.018940324259312687,-0.8296389940832403,-0.0005545109105358952,0.33766081883475274
QQQ,normal,0.011690766018894584,0.01195163010296013,-0.6867453888415405,0.0012620067964568304,0.213103387558687
SHY,crisis,0.0011069642153980588,0.0011311588987862962,-0.05707100245289454,8.590943041849842e-05,0.019459937207004032
SHY,normal,0.0006553676491210309,0.0006660671671816524,-0.0389006747347832,7.455578771964734e-05,0.011934034158148688
SI=F,crisis,0.018929676193836377,0.01932717424041966,-0.7584595804147046,0.0004654120872600319,0.3401613878648599
SI=F,normal,0.018079160659828775,0.018565647502608886,-0.71871397025315,0.0007600382272869988,0.32080638437401227
SLV,crisis,0.022643716655143385,0.022921985657016874,-0.7628015142556759,0.00018579610888889858,0.39478656315914606
SLV,normal,0.01679414405781712,0.017182615617196632,-0.7236563503290236,0.0006663310150498207,0.30217390268518923
SPY,crisis,0.013787521041722902,0.013865581039980224,-0.551894485120251,-0.000409351148555962,0.2601101022143899
SPY,normal,0.008456939854755884,0.008928279840717375,-0.09999615625641334,0.0009660551422106374,0.13930955355583213
TLT,crisis,0.009762237491540362,0.009847130099493336,-0.4792681304804204,0.00029766036721015117,0.1701203716885516
TLT,normal,0.007565879772149162,0.007739118111442375,-0.48351153113864176,0.00011597329840346449,0.12416323554134398
TSLA,crisis,0.040971663418824376,0.042172920412181125,-0.736322174421912,-0.00193802067935272,0.7105507296431114
TSLA,normal,0.03177822513151195,0.03276823092774954,-0.6535112261170382,0.002943851572856257,0.5372336633906291
USO,crisis,0.02673638721542246,0.026672052242527392,-0.9818692538851106,-0.0013919919121775546,0.4956053854866429
USO,normal,0.018072181694247357,0.01872087746687908,-0.9733997283733005,0.000550797652636555,0.30714241174693235
UUP,crisis,0.006415131622562161,0.006486006953681437,-0.22190934225663672,0.00011149359044918561,0.10839145422922
UUP,normal,0.004067505132560911,0.004168481459496646,-0.22190934225663672,5.6877101788445095e-05,0.06721832072668296
XLB,crisis,0.01686589211501939,0.017081151685561766,-0.5982479323024148,-0.0001295462562224732,0.3029662173638606
XLB,normal,0.010855437312715963,0.011218527337290915,-0.37561222920881965,0.0007922512577786666,0.17963596668314555
XLE,crisis,0.019119136607283902,0.01922031819682944,-0.7126277917957133,-2.9632411552552996e-05,0.35967388427239994
XLE,normal,0.013577195199178905,0.014092770279466923,-0.6350984568940576,0.000849153163410805,0.2262805571165087
XLF,crisis,0.01930467563482925,0.019625022048705386,-0.8268653990508135,-0.0004118290277173671,0.38927251206900026
XLF,normal,0.010991730715207046,0.011417147527095339,-0.6058117174491227,0.0008982312070165503,0.18523819399623204
XLI,crisis,0.015008217144578784,0.015182496926632143,-0.6226266263505549,-0.000277797585795721,0.2763236783288079
XLI,normal,0.009417013333883497,0.009818329355345625,-0.2026086852485801,0.0009226779460008188,0.15432668392464427
XLK,crisis,0.018073443033297026,0.018448088096830875,-0.8204650935444606,-0.0005636193106524155,0.3316311518363429
XLK,normal,0.011489309045410203,0.011755825213062305,-0.689901017208334,0.0012050805955712148,0.1980808024064047
XLP,crisis,0.010014069774558185,0.010190351096429892,-0.35889062186350185,-0.00018857163890959646,0.18374822088852838
XLP,normal,0.007521112991829634,0.00772860007856757,-0.3191878113192216,0.0006280307626752124,0.12740871362081901
XLRE,crisis,0.019334932273264265,0.0187309689605096,-0.38824761015325415,-0.0018052467016219848,0.3652691292843518
XLRE,normal,0.009414581178716967,0.009930372865825586,-0.3354093873066818,0.0008025545272084801,0.1507846977427842
XLU,crisis,0.01283800643336455,0.013127971222155406,-0.5227241836886201,-0.00022083038687316725,0.24458450389086708
XLU,normal,0.009091104722402989,0.009341696347949678,-0.252620940022366,0.0007631646813318036,0.1494973528389801
XLV,crisis,0.012058792610906931,0.012320491933365351,-0.3917025545573618,-0.00026428478690114054,0.22165266108774742
XLV,normal,0.0086234296318211,0.008903668309351425,-0.17412033888515865,0.0007932117829337286,0.14344288143460063
XLY,crisis,0.01609857726956332,0.016348492472001284,-0.5904758144901043,-0.00016483287547885357,0.2932685655335654
XLY,normal,0.010208984204855736,0.010510798005409784,-0.27816669330786836,0.0008823829424315406,0.17031557090448374
